X,Y,POINT_X,POINT_Y,dtm10mUTM3
632945.165373764,5097351.8577287756,632945.16537399997,5097351.85773000030,816.00000
634892.91234385036,5111749.7028169781,634892.91234399995,5111749.70282000020,1183.00000
635513.16471235163,5107198.6879988201,635513.16471200006,5107198.68800000010,907.00000
633054.36615380447,5098494.3481326532,633054.36615400005,5098494.34812999980,670.00000
638936.9123927711,5112663.5120390356,638936.91239299998,5112663.51204000040,1439.00000
633581.80355595471,5095705.4255199898,633581.80355600000,5095705.42552000000,1536.00000
631807.46255101042,5100923.4352801107,631807.46255099995,5100923.43527999990,847.00000
633886.61729585961,5106732.9692070344,633886.61729600001,5106732.96920999980,675.00000
633864.59216027102,5098559.3792914692,633864.59216000000,5098559.37928999960,644.00000
642188.11671450036,5096347.7708663885,642188.11671500001,5096347.77087000010,672.00000
635245.3920292824,5109711.320449885,635245.39202899998,5109711.32045000050,846.00000
641180.04401393619,5101596.2018064223,641180.04401399998,5101596.20181000050,462.00000
632439.71778361395,5111439.1077517737,632439.71778399998,5111439.10775000040,2190.00000
640314.75114869478,5104519.1939467695,640314.75114900002,5104519.19395000020,920.00000
640807.22008212714,5101699.2093424862,640807.22008200001,5101699.20933999960,472.00000
639588.75327758642,5103440.5487593235,639588.75327800005,5103440.54875999970,1262.00000
637717.44118973718,5106684.4732868103,637717.44119000004,5106684.47329000010,1628.00000
629970.81624564528,5100414.326122663,629970.81624600000,5100414.32612000030,1680.00000
631071.60235651722,5110705.7252869802,631071.60235700000,5110705.72529000040,1911.00000
640176.19649808633,5095927.8086870527,640176.19649799995,5095927.80869000030,837.00000
633529.95185654634,5114598.715396164,633529.95185700001,5114598.71540000010,901.00000
636307.24641638482,5099071.5942708785,636307.24641599995,5099071.59427000020,721.00000
636890.54224052432,5111914.6614242662,636890.54224099999,5111914.66141999980,829.00000
630972.62303910672,5105858.7583620632,630972.62303899997,5105858.75836000030,1272.00000
638527.2199565511,5095810.2577794623,638527.21995699999,5095810.25777999960,794.00000
634518.76663378091,5112006.2290988639,634518.76663400000,5112006.22910000010,1436.00000
635423.86170515313,5097310.4572674111,635423.86170500005,5097310.45727000010,1508.00000
629609.54344253242,5111243.12519655,629609.54344299994,5111243.12519999970,1935.00000
632633.19566553202,5104233.8289595041,632633.19566600001,5104233.82895999960,729.00000
635089.45976159652,5098427.0710475817,635089.45976200001,5098427.07105000040,789.00000
631703.24214374484,5102815.2760854727,631703.24214400002,5102815.27608999980,825.00000
633199.91714654805,5111897.3059937907,633199.91714699997,5111897.30599000030,2027.00000
632613.02076698979,5113541.6497317757,632613.02076700004,5113541.64972999970,1303.00000
636328.44004544127,5114593.6685208809,636328.44004500005,5114593.66851999980,817.00000
638116.18829336239,5110383.7404133081,638116.18829299998,5110383.74041000010,1400.00000
641529.03548222815,5096661.3363391683,641529.03548199998,5096661.33633999990,651.00000
636719.05230874615,5108926.5222106678,636719.05230900005,5108926.52221000010,1109.00000
637541.37798691378,5106310.7427621353,637541.37798700004,5106310.74275999980,1541.00000
633420.70275277726,5107376.8155491417,633420.70275299996,5107376.81555000040,1163.00000
638884.83895125473,5103497.0030096909,638884.83895100001,5103497.00301000010,1508.00000
639185.9781276416,5099146.4901976446,639185.97812800005,5099146.49019999990,1061.00000
632718.87598596374,5106538.6044887099,632718.87598600006,5106538.60448999980,1316.00000
637704.83987646899,5101372.396474666,637704.83987599995,5101372.39647000000,494.00000
637918.39150209865,5110427.773752979,637918.39150200004,5110427.77374999970,1349.00000
639344.03937902267,5105309.8966967165,639344.03937899997,5105309.89670000040,1058.00000
636893.77250473737,5104627.415546515,636893.77250500000,5104627.41555000000,1387.00000
641781.71429782349,5104742.0517843291,641781.71429799998,5104742.05178000030,1809.00000
636982.21439325507,5103123.7404326415,636982.21439300000,5103123.74043000020,1376.00000
639935.08120532241,5110504.7635376537,639935.08120500005,5110504.76353999970,1419.00000
636032.82139605004,5102291.4938744474,636032.82139599998,5102291.49387000040,1017.00000
639445.12721581478,5105586.085935872,639445.12721599999,5105586.08593999970,1139.00000
631103.43539525697,5110277.8310134094,631103.43539500004,5110277.83100999980,1967.00000
636776.43938633846,5101596.2773991637,636776.43938600004,5101596.27740000000,878.00000
637907.38255096355,5105426.2947654147,637907.38255099999,5105426.29476999960,1745.00000
632292.21622589277,5105733.2346156072,632292.21622599999,5105733.23462000020,1020.00000
638438.14093827864,5098745.2224255893,638438.14093800006,5098745.22243000010,1496.00000
637203.73215274932,5104958.3697592756,637203.73215299996,5104958.36976000010,1383.00000
632667.34703473723,5103725.6371836476,632667.34703499998,5103725.63717999960,642.00000
630405.30635539524,5111309.3293969249,630405.30635500001,5111309.32940000020,1803.00000
641366.94078509079,5103251.0448558806,641366.94078499998,5103251.04485999980,1209.00000
632233.32715847762,5105328.0466942592,632233.32715799997,5105328.04669000020,1108.00000
635907.98539519776,5114297.0269710226,635907.98539499997,5114297.02697000000,800.00000
633989.13561648468,5105861.9246150358,633989.13561600004,5105861.92461999970,631.00000
634826.16591042338,5098631.2745178845,634826.16590999998,5098631.27452000040,716.00000
630514.97519016871,5098442.4909405317,630514.97519000003,5098442.49093999990,1399.00000
633418.44193595252,5113769.3995758742,633418.44193600002,5113769.39958000000,1261.00000
635120.16260083881,5103660.4570662882,635120.16260100005,5103660.45706999950,1297.00000
633503.8616444954,5106340.760522496,633503.86164400005,5106340.76052000000,745.00000
